topic,timestamp,value
"tele/soil/pot0/temp0","2017-06-04 16:40:04.803394","16.50"
"tele/soil/pot0/moisture0","2017-06-04 16:40:04.854528","842"
"tele/soil/pot0/temp0","2017-06-04 16:44:52.243533","16.56"
"tele/soil/pot0/moisture0","2017-06-04 16:44:52.297961","741"
"tele/soil/pot0/temp0","2017-06-04 16:49:44.760184","16.56"
"tele/soil/pot0/moisture0","2017-06-04 16:49:44.803248","741"
"tele/soil/pot0/temp0","2017-06-04 16:54:40.604461","16.50"
"tele/soil/pot0/moisture0","2017-06-04 16:54:40.657322","741"
"tele/soil/pot0/temp0","2017-06-04 16:59:32.837523","16.50"
"tele/soil/pot0/moisture0","2017-06-04 16:59:32.887756","742"
"tele/soil/pot0/temp0","2017-06-04 17:04:26.550301","16.50"
"tele/soil/pot0/moisture0","2017-06-04 17:04:26.600770","742"
"tele/soil/pot0/temp0","2017-06-04 17:09:20.507288","16.56"
"tele/soil/pot0/moisture0","2017-06-04 17:09:20.567381","743"
"tele/soil/pot0/temp0","2017-06-04 17:14:16.531646","16.56"
"tele/soil/pot0/moisture0","2017-06-04 17:14:16.614102","743"
"tele/soil/pot0/temp0","2017-06-04 17:19:09.169425","16.56"
"tele/soil/pot0/moisture0","2017-06-04 17:19:09.211350","744"
"tele/soil/pot0/temp0","2017-06-04 17:24:02.821894","16.56"
"tele/soil/pot0/moisture0","2017-06-04 17:24:02.893865","745"
"tele/soil/pot0/temp0","2017-06-04 17:28:57.073422","16.56"
"tele/soil/pot0/moisture0","2017-06-04 17:28:57.122803","739"
"tele/soil/pot0/temp0","2017-06-04 17:33:51.020397","16.56"
"tele/soil/pot0/moisture0","2017-06-04 17:33:51.071712","741"
"tele/soil/pot0/temp0","2017-06-04 17:38:44.956432","16.56"
"tele/soil/pot0/moisture0","2017-06-04 17:38:44.999694","741"
"tele/soil/pot0/temp0","2017-06-04 17:43:39.200408","16.56"
"tele/soil/pot0/moisture0","2017-06-04 17:43:39.260679","741"
"tele/soil/pot0/temp0","2017-06-04 17:48:33.317141","16.56"
"tele/soil/pot0/moisture0","2017-06-04 17:48:33.369018","742"
"tele/soil/pot0/temp0","2017-06-04 17:53:27.472421","16.56"
"tele/soil/pot0/moisture0","2017-06-04 17:53:27.524485","742"
"tele/soil/pot0/temp0","2017-06-04 17:59:23.404762","16.56"
"tele/soil/pot0/moisture0","2017-06-04 17:59:23.464158","742"
"tele/soil/pot0/temp0","2017-06-04 18:04:12.778136","16.56"
"tele/soil/pot0/moisture0","2017-06-04 18:04:12.839816","743"
"tele/soil/pot0/temp0","2017-06-04 18:09:06.430401","16.56"
"tele/soil/pot0/moisture0","2017-06-04 18:09:06.496939","743"
"tele/soil/pot0/temp0","2017-06-04 18:14:00.337989","16.56"
"tele/soil/pot0/moisture0","2017-06-04 18:14:00.448557","742"
"tele/soil/pot0/temp0","2017-06-04 18:18:58.205558","16.62"
"tele/soil/pot0/moisture0","2017-06-04 18:18:58.273289","744"
"tele/soil/pot0/temp0","2017-06-04 18:23:50.391163","16.62"
"tele/soil/pot0/moisture0","2017-06-04 18:23:50.443462","744"
"tele/soil/pot0/temp0","2017-06-04 18:28:44.092431","16.62"
"tele/soil/pot0/moisture0","2017-06-04 18:28:44.145336","745"
"tele/soil/pot0/temp0","2017-06-04 18:33:37.590590","16.62"
"tele/soil/pot0/moisture0","2017-06-04 18:33:37.656458","745"
"tele/soil/pot0/temp0","2017-06-04 18:38:34.035214","16.62"
"tele/soil/pot0/moisture0","2017-06-04 18:38:34.104271","745"
"tele/soil/pot0/temp0","2017-06-04 18:43:26.865780","16.62"
"tele/soil/pot0/moisture0","2017-06-04 18:43:26.918232","745"
"tele/soil/pot0/temp0","2017-06-04 18:48:20.388308","16.68"
"tele/soil/pot0/moisture0","2017-06-04 18:48:20.451766","746"
"tele/soil/pot0/temp0","2017-06-04 18:53:14.326254","16.62"
"tele/soil/pot0/moisture0","2017-06-04 18:53:14.389276","746"
"tele/soil/pot0/temp0","2017-06-04 18:58:08.261287","16.68"
"tele/soil/pot0/moisture0","2017-06-04 18:58:08.353701","746"
"tele/soil/pot0/temp0","2017-06-04 19:03:01.307243","16.68"
"tele/soil/pot0/moisture0","2017-06-04 19:03:01.350074","747"
"tele/soil/pot0/temp0","2017-06-04 19:07:54.997445","16.68"
"tele/soil/pot0/moisture0","2017-06-04 19:07:55.043284","747"
"tele/soil/pot0/temp0","2017-06-04 19:12:48.372553","16.68"
"tele/soil/pot0/moisture0","2017-06-04 19:12:48.439710","746"
"tele/soil/pot0/temp0","2017-06-04 19:17:42.178188","16.68"
"tele/soil/pot0/moisture0","2017-06-04 19:17:42.234365","745"
"tele/soil/pot0/temp0","2017-06-04 19:22:36.228562","16.68"
"tele/soil/pot0/moisture0","2017-06-04 19:22:36.274613","748"
"tele/soil/pot0/temp0","2017-06-04 19:27:29.845394","16.62"
"tele/soil/pot0/moisture0","2017-06-04 19:27:29.898118","747"
"tele/soil/pot0/temp0","2017-06-04 19:32:25.261831","16.68"
"tele/soil/pot0/moisture0","2017-06-04 19:32:25.316340","747"
"tele/soil/pot0/temp0","2017-06-04 19:37:18.774723","16.68"
"tele/soil/pot0/moisture0","2017-06-04 19:37:18.860582","748"
"tele/soil/pot0/temp0","2017-06-04 19:42:29.400479","16.68"
"tele/soil/pot0/moisture0","2017-06-04 19:42:29.457344","748"
"tele/soil/pot0/temp0","2017-06-04 19:47:20.256234","16.62"
"tele/soil/pot0/moisture0","2017-06-04 19:47:20.312082","748"
"tele/soil/pot0/temp0","2017-06-04 19:52:13.938578","16.68"
"tele/soil/pot0/moisture0","2017-06-04 19:52:13.984030","748"
"tele/soil/pot0/temp0","2017-06-04 19:57:08.439724","16.68"
