timestamp,value,topic,mV
2017-05-21T17:14:43Z,319,tele/esp/soil,0.9570000000000001
2017-05-21T17:15:43Z,321,tele/esp/soil,0.963
2017-05-21T17:16:43Z,319,tele/esp/soil,0.9570000000000001
2017-05-21T17:17:43Z,320,tele/esp/soil,0.96
2017-05-21T17:18:43Z,320,tele/esp/soil,0.96
2017-05-21T17:19:43Z,316,tele/esp/soil,0.9480000000000001
2017-05-21T17:20:43Z,319,tele/esp/soil,0.9570000000000001
2017-05-21T17:21:43Z,318,tele/esp/soil,0.9540000000000001
2017-05-21T17:22:43Z,319,tele/esp/soil,0.9570000000000001
2017-05-21T17:23:43Z,319,tele/esp/soil,0.9570000000000001
2017-05-21T17:24:42Z,317,tele/esp/soil,0.9510000000000001
2017-05-21T17:25:42Z,318,tele/esp/soil,0.9540000000000001
2017-05-21T17:26:42Z,319,tele/esp/soil,0.9570000000000001
2017-05-21T17:27:43Z,319,tele/esp/soil,0.9570000000000001
2017-05-21T17:28:42Z,309,tele/esp/soil,0.927
2017-05-21T17:29:42Z,321,tele/esp/soil,0.963
2017-05-21T17:30:43Z,323,tele/esp/soil,0.969
2017-05-21T17:31:43Z,315,tele/esp/soil,0.9450000000000001
2017-05-21T17:32:42Z,307,tele/esp/soil,0.921
2017-05-21T17:33:42Z,315,tele/esp/soil,0.9450000000000001
2017-05-21T17:34:43Z,332,tele/esp/soil,0.996
2017-05-21T17:35:43Z,330,tele/esp/soil,0.99
2017-05-21T17:36:43Z,331,tele/esp/soil,0.993
2017-05-21T17:37:42Z,325,tele/esp/soil,0.975
2017-05-21T17:38:42Z,311,tele/esp/soil,0.933
2017-05-21T17:39:42Z,329,tele/esp/soil,0.987
2017-05-21T17:40:42Z,327,tele/esp/soil,0.981
2017-05-21T17:41:42Z,332,tele/esp/soil,0.996
2017-05-21T17:42:42Z,330,tele/esp/soil,0.99
2017-05-21T17:43:43Z,330,tele/esp/soil,0.99
2017-05-21T17:44:42Z,331,tele/esp/soil,0.993
2017-05-21T17:45:43Z,328,tele/esp/soil,0.984
2017-05-21T17:46:43Z,330,tele/esp/soil,0.99
2017-05-21T17:47:43Z,330,tele/esp/soil,0.99
2017-05-21T17:48:43Z,329,tele/esp/soil,0.987
2017-05-21T17:49:43Z,328,tele/esp/soil,0.984
2017-05-21T17:50:43Z,332,tele/esp/soil,0.996
2017-05-21T17:51:43Z,329,tele/esp/soil,0.987
2017-05-21T17:52:42Z,329,tele/esp/soil,0.987
2017-05-21T17:53:43Z,330,tele/esp/soil,0.99
2017-05-21T17:54:43Z,331,tele/esp/soil,0.993
2017-05-21T17:55:42Z,330,tele/esp/soil,0.99
2017-05-21T17:56:42Z,329,tele/esp/soil,0.987
2017-05-21T17:57:42Z,330,tele/esp/soil,0.99
2017-05-21T17:58:43Z,327,tele/esp/soil,0.981
2017-05-21T17:59:42Z,329,tele/esp/soil,0.987
2017-05-21T18:00:43Z,330,tele/esp/soil,0.99
2017-05-21T18:01:52Z,329,tele/esp/soil,0.987
2017-05-21T18:04:35Z,330,tele/esp/soil,0.99
2017-05-21T18:05:35Z,326,tele/esp/soil,0.978
2017-05-21T18:06:35Z,328,tele/esp/soil,0.984
2017-05-21T18:07:35Z,329,tele/esp/soil,0.987
